t,|Omega|,arg(Omega)
0.0,1,0
0.0768888888888889,1,-0.005206856121121928
0.1537777777777778,1,-0.0155559081588863
0.2306666666666667,1,-0.030828542869261066
0.3075555555555556,1,-0.051042137300428614
0.3844444444444445,1,-0.07574482851642761
0.4613333333333334,1,-0.1048009448116215
0.5382222222222223,1,-0.13794753952123806
0.6151111111111112,1,-0.17488957360068502
0.6920000000000001,1,-0.21514299761372846
0.768888888888889,1,-0.25829462382360313
0.8457777777777779,1,-0.30417810115918875
0.9226666666666667,1,-0.35201942855829677
0.9995555555555556,1,-0.4015948481500137
1.0764444444444445,1,-0.4522888352104099
1.1533333333333333,1,-0.5037067145561759
1.2302222222222223,1,-0.5552900188064229
1.3071111111111113,1,-0.6065589530465751
1.3840000000000001,1,-0.6568415861004193
1.460888888888889,1,-0.7060185052363823
1.537777777777778,1,-0.7531910691546025
1.614666666666667,1,-0.7981445740157893
1.6915555555555557,1,-0.8403461724409429
1.7684444444444445,1,-0.8794553029025127
1.8453333333333335,1,-0.9150662040602274
1.9222222222222225,1,-0.9468446189385619
1.9991111111111113,1,-0.9743284440729487
2.076,1,-0.9975489872184375
2.152888888888889,1,-1.0160987089453475
2.229777777777778,1,-1.029642700606746
2.3066666666666666,1,-1.0383062473987315
2.3835555555555556,1,-1.0417006803754092
2.4604444444444447,1,-1.0399118930114524
2.5373333333333337,1,-1.0327347627560062
2.6142222222222227,1,-1.0203361779097824
2.6911111111111112,1,-1.002686005093267
2.7680000000000002,1,-0.9798861336804422
2.8448888888888892,1,-0.9519629010811237
2.921777777777778,1,-0.9191038043524484
2.998666666666667,1,-0.8814984866779377
3.075555555555556,1,-0.8395190381737427
3.152444444444445,1,-0.7932981489076697
3.229333333333334,1,-0.7432407243784729
3.3062222222222224,1,-0.6897398457666474
3.3831111111111114,1,-0.6331560654109526
3.4600000000000004,1,-0.5739816958670872
3.536888888888889,1,-0.5126482772453329
3.613777777777778,1,-0.4497300920383065
3.690666666666667,1,-0.38568509830202335
3.767555555555556,1,-0.3210642997403219
3.844444444444445,1,-0.2564694519674281
3.9213333333333336,1,-0.1924873610272202
3.9982222222222226,1,-0.12944107809028071
4.075111111111111,1,-0.06830197102324309
4.152,1,-0.009260420418868875
4.228888888888889,1,0.047524267108279505
4.305777777777778,1,0.100836667323695
4.382666666666667,1,0.1510009334288679
4.459555555555556,1,0.19719138507393674
4.536444444444445,1,0.23933227088605313
4.613333333333333,1,0.2766423479946386
4.690222222222222,1,0.3095309185833254
4.767111111111111,1,0.33761622888204756
4.844,1,0.36045944587159584
4.920888888888889,1,0.37800058135263825
4.997777777777778,1,0.3904139328835502
5.074666666666667,1,0.3974168865616853
5.151555555555556,1,0.3995241922589122
5.228444444444445,1,0.3959956408371662
5.3053333333333335,1,0.38727900721675057
5.3822222222222225,1,0.373673929127344
5.4591111111111115,1,0.3552545364430505
5.5360000000000005,1,0.3321644791769166
5.6128888888888895,1,0.3046526162740927
5.6897777777777785,1,0.2728567208477478
5.7666666666666675,1,0.23723319128393816
5.843555555555556,1,0.19814116654220848
5.920444444444445,1,0.1560092595645891
5.997333333333334,1,0.1109898953575309
6.074222222222223,1,0.06374067196625166
6.151111111111112,1,0.014789610048091206
6.228000000000001,1,-0.03570939807395257
6.30488888888889,1,-0.08696066452576412
6.381777777777779,1,-0.1385803264865273
6.458666666666668,1,-0.18993522897035753
6.535555555555556,1,-0.24072419789183208
6.612444444444445,1,-0.2903863490741848
6.689333333333334,1,-0.338279019260814
6.766222222222223,1,-0.38413205260111827
6.843111111111112,1,-0.42727249780106685
6.920000000000001,1,-0.4675547727608495
6.99688888888889,1,-0.5044079984494114
7.073777777777778,1,-0.5374066870356393
7.150666666666667,1,-0.5666190497649339
7.227555555555556,1,-0.591244574420264
7.304444444444445,1,-0.6112628636344262
7.381333333333334,1,-0.6266833782262359
7.458222222222223,1,-0.6369880510447442
7.535111111111112,1,-0.6421179524296483
7.612,,
